DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
Amazônia Legal (residência): Sim
Class. Final: Ign/Branco, Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengue grave
Período:2014-2024
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"130356 RIO PRETO DA EVA";-;1;3;3;1;5;4;4;13;42;17;14;107
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;1;-;-;1;42;16;4;1;1;66
"130370 SANTO ANTONIO DO ICA";-;2;4;-;-;-;2;37;80;104;27;77;333
"130380 SAO GABRIEL DA CACHOEIRA";-;385;144;212;72;114;865;865;24;4;4;45;2734
"130390 SAO PAULO DE OLIVENCA";-;-;4;-;-;-;5;15;130;64;159;5;382
"130395 SAO SEBASTIAO DO UATUMA";-;1;1;-;-;-;-;-;26;-;1;7;36
"130400 SILVES";-;2;3;6;-;-;1;-;1;-;-;1;14
"130406 TABATINGA";7;1089;315;340;109;17;388;101;146;136;139;48;2835
"130410 TAPAUA";-;1;125;85;100;37;15;-;942;113;155;185;1758
"130420 TEFE";-;689;72;76;306;278;47;62;255;40;856;520;3201
"130423 TONANTINS";-;-;-;-;-;-;-;19;22;58;378;338;815
"130426 UARINI";-;1;-;1;-;1;-;1;2;4;12;3;25
"130430 URUCARA";-;1;-;62;-;-;2;-;-;-;1;2;68
"130440 URUCURITUBA";-;-;2;51;3;7;1;-;2;-;-;5;71
"140002 AMAJARI";-;13;43;5;4;-;8;4;-;1;1;-;79
"140005 ALTO ALEGRE";-;23;13;4;2;1;9;5;8;5;1;15;86
"140010 BOA VISTA";2;288;399;75;197;71;1000;355;45;39;61;219;2751
"140015 BONFIM";-;107;41;3;10;1;47;12;5;1;91;11;329
"140017 CANTA";-;13;24;18;5;-;17;32;-;1;16;13;139
"140020 CARACARAI";8;68;150;8;15;2;202;18;7;1;8;13;500
"140023 CAROEBE";-;6;4;46;1;-;211;5;12;1;2;3;291
"140028 IRACEMA";-;115;55;3;5;1;5;-;3;-;22;14;223
"140030 MUCAJAI";-;37;53;7;12;3;55;12;7;7;6;6;205
"140040 NORMANDIA";-;4;10;1;-;3;3;35;-;-;1;59;116
"140045 PACARAIMA";-;18;9;2;1;1;3;-;-;-;5;66;105
"140047 RORAINOPOLIS";-;429;281;6;8;24;4;14;18;3;18;118;923
"140050 SAO JOAO DA BALIZA";-;5;23;33;23;3;17;1;10;1;1;2;119
"140060 SAO LUIZ";-;1;-;-;4;-;3;1;1;-;-;5;15
"140070 UIRAMUTA";-;2;10;1;1;1;21;-;-;-;-;2;38
"150010 ABAETETUBA";-;16;36;127;165;37;9;15;8;8;26;194;641
"150013 ABEL FIGUEIREDO";-;10;15;20;7;2;7;1;-;-;10;12;84
"150020 ACARA";-;65;2;14;3;14;7;3;8;33;34;61;244
"150030 AFUA";-;2;8;11;9;10;9;2;2;154;229;227;663
"150034 AGUA AZUL DO NORTE";-;3;22;18;176;5;31;4;27;25;124;47;482
"150040 ALENQUER";-;4;220;536;43;15;5;43;113;24;3;80;1086
"150050 ALMEIRIM";-;150;2;3;7;79;-;2;1;-;3;220;467
"150060 ALTAMIRA";1;247;298;84;52;17;58;318;206;126;340;727;2474
"150070 ANAJAS";-;-;1;1;3;-;-;1;-;73;5;185;269
"150080 ANANINDEUA";-;35;335;292;74;90;38;42;19;42;62;574;1603
"150085 ANAPU";3;249;18;55;590;6;138;16;1;62;20;575;1733
"150090 AUGUSTO CORREA";-;4;48;14;5;65;4;17;10;1;4;71;243
"150095 AURORA DO PARA";-;7;2;3;6;15;2;2;1;6;91;35;170
"150100 AVEIRO";-;-;-;3;1;-;1;-;-;-;-;-;5
"150110 BAGRE";-;-;66;-;1;-;-;1;-;-;9;10;87
"150120 BAIAO";-;4;2;3;2;33;1;-;3;4;5;75;132
"150125 BANNACH";-;25;14;38;13;2;29;50;22;11;26;76;306
"150130 BARCARENA";-;7;18;79;37;31;10;9;3;4;6;93;297
"150140 BELEM";1;480;1493;737;253;223;200;231;619;278;528;2819;7862
"150145 BELTERRA";-;-;13;21;10;20;4;17;24;8;7;641;765
"150150 BENEVIDES";-;7;66;51;2;15;13;21;19;6;59;197;456
"150157 BOM JESUS DO TOCANTINS";-;1;2;4;1;-;2;1;1;11;7;7;37
"150160 BONITO";-;-;8;2;4;3;20;8;2;1;-;-;48
"150170 BRAGANCA";-;7;51;202;33;24;32;14;8;7;10;222;610
"150172 BRASIL NOVO";-;70;209;44;8;9;70;31;12;5;7;20;485
"150175 BREJO GRANDE DO ARAGUAIA";-;19;23;43;3;16;2;4;7;1;6;11;135
"150178 BREU BRANCO";-;4;31;462;343;149;5;13;-;3;6;20;1036
"150180 BREVES";-;6;203;48;6;3;7;4;2;1;47;116;443
"150190 BUJARU";-;3;4;2;1;2;4;1;-;2;1;10;30
"150195 CACHOEIRA DO PIRIA";-;20;4;82;23;3;-;2;-;2;-;36;172
"150200 CACHOEIRA DO ARARI";-;-;-;-;-;-;-;-;-;-;1;-;1
"150210 CAMETA";1;14;33;44;12;6;12;65;13;82;165;602;1049
"150215 CANAA DOS CARAJAS";-;16;184;87;31;33;309;16;48;273;127;213;1337
"150220 CAPANEMA";-;11;90;140;19;41;63;22;12;1;39;120;558
"150230 CAPITAO POCO";-;8;24;79;147;41;4;1;1;3;21;64;393
"150240 CASTANHAL";-;15;123;52;57;95;30;29;13;16;140;759;1329
"150250 CHAVES";-;1;1;3;3;3;3;-;1;-;-;1;16
"150260 COLARES";-;1;21;2;3;-;1;-;2;1;4;284;319
"150270 CONCEICAO DO ARAGUAIA";-;12;18;96;140;102;293;53;856;564;123;179;2436
"150275 CONCORDIA DO PARA";-;4;1;5;3;4;-;2;2;6;3;70;100
"150276 CUMARU DO NORTE";-;5;27;184;15;12;8;26;37;21;108;69;512
"150277 CURIONOPOLIS";-;21;11;56;2;-;5;-;-;21;1;14;131
"150280 CURRALINHO";-;2;3;1;3;1;3;7;3;1;-;143;167
"150285 CURUA";-;-;1;3;1;-;-;-;-;2;-;11;18
"150290 CURUCA";-;11;15;10;5;24;5;2;-;10;7;103;192
"150293 DOM ELISEU";-;22;67;511;7;9;35;9;-;46;12;71;789
"150295 ELDORADO DOS CARAJAS";-;19;-;6;2;1;2;-;1;28;8;4;71
"150300 FARO";-;-;-;-;-;-;-;1;-;1;-;62;64
"150304 FLORESTA DO ARAGUAIA";-;1;26;193;8;83;13;4;64;173;107;11;683
"150307 GARRAFAO DO NORTE";-;-;1;4;5;4;-;1;-;-;1;4;20
"150309 GOIANESIA DO PARA";-;4;28;117;142;229;274;37;1;38;8;19;897
"150310 GURUPA";-;37;8;18;5;1;1;-;-;-;2;18;90
"150320 IGARAPE-ACU";-;7;5;20;1;9;8;14;-;19;45;202;330
"150330 IGARAPE-MIRI";-;1;10;4;2;12;13;3;36;34;8;150;273
"150340 INHANGAPI";-;9;80;15;4;71;1;2;2;-;5;31;220
"150345 IPIXUNA DO PARA";-;19;3;6;9;9;6;9;8;18;32;98;217
"150350 IRITUIA";-;6;38;5;6;13;3;6;1;3;8;23;112
"150360 ITAITUBA";-;70;63;556;48;32;23;138;520;62;12;90;1614
"150370 ITUPIRANGA";-;36;38;30;13;11;26;8;2;41;168;24;397
"150375 JACAREACANGA";-;-;-;2;1;-;1;1;1;1;3;3;13
"150380 JACUNDA";-;3;18;70;99;3;20;11;3;83;172;94;576
"150390 JURUTI";-;25;1;32;19;4;2;1;8;10;4;58;164
"150400 LIMOEIRO DO AJURU";-;1;4;10;33;4;3;4;-;-;5;21;85
"150405 MAE DO RIO";-;1;10;5;-;156;15;-;-;6;26;30;249
"150410 MAGALHAES BARATA";-;1;6;-;-;2;-;-;2;1;27;15;54
"150420 MARABA";1;94;130;534;465;22;53;2;7;60;24;121;1513
"150430 MARACANA";-;3;2;17;28;31;25;1;1;21;7;11;147
"150440 MARAPANIM";-;-;3;1;2;176;12;-;1;1;6;22;224
"150442 MARITUBA";-;107;318;172;100;56;16;12;10;27;24;164;1006
"150445 MEDICILANDIA";-;15;11;7;45;28;64;56;56;15;15;16;328
"150450 MELGACO";-;1;2;1;-;-;-;1;1;1;3;12;22
"150460 MOCAJUBA";-;2;17;22;3;4;26;25;2;4;4;43;152
"150470 MOJU";-;3;9;3;1;62;42;2;4;8;15;50;199
"150475 MOJUI DOS CAMPOS";-;30;172;31;13;10;4;13;7;44;11;116;451
"150480 MONTE ALEGRE";-;3;232;506;5;-;1;6;2;2;108;696;1561
"150490 MUANA";-;12;9;8;2;3;5;2;1;-;11;13;66
"150495 NOVA ESPERANCA DO PIRIA";-;3;-;26;64;13;4;1;-;-;2;7;120
"150497 NOVA IPIXUNA";-;15;60;95;6;8;67;2;3;2;4;38;300
"150500 NOVA TIMBOTEUA";-;-;25;19;6;85;3;-;-;-;1;25;164
"150503 NOVO PROGRESSO";-;69;124;303;64;72;98;291;48;111;113;110;1403
"150506 NOVO REPARTIMENTO";-;11;15;196;145;92;111;38;72;48;73;29;830
"150510 OBIDOS";-;11;12;54;3;3;3;3;9;9;7;61;175
"150520 OEIRAS DO PARA";-;3;2;12;4;1;1;1;-;6;9;167;206
"150530 ORIXIMINA";2;214;47;319;35;9;7;-;8;12;10;127;790
"150540 OUREM";-;1;2;1;1;-;-;1;8;1;2;12;29
"150543 OURILANDIA DO NORTE";-;17;66;42;77;16;65;42;35;6;6;13;385
"150548 PACAJA";2;182;169;225;290;57;65;44;118;65;12;182;1411
"150549 PALESTINA DO PARA";-;-;1;2;68;27;3;7;1;9;9;10;137
"150550 PARAGOMINAS";-;9;3;8;44;1;47;1;3;25;67;119;327
"150553 PARAUAPEBAS";8;529;451;350;1119;266;1643;471;139;1209;416;640;7241
"150555 PAU D'ARCO";-;-;2;40;44;55;1;17;10;35;54;185;443
"150560 PEIXE-BOI";-;-;3;23;-;2;3;4;5;10;9;231;290
"150563 PICARRA";-;1;-;5;-;1;3;1;2;16;7;-;36
"150565 PLACAS";-;7;21;4;1;-;-;-;2;10;3;82;130
"150570 PONTA DE PEDRAS";-;15;123;52;-;6;1;4;1;10;5;25;242
"150580 PORTEL";-;14;79;20;-;2;-;-;-;-;4;56;175
"150590 PORTO DE MOZ";-;3;23;11;-;-;2;4;-;3;2;8;56
"150600 PRAINHA";-;-;70;88;1;1;2;-;20;166;52;1040;1440
"150610 PRIMAVERA";-;-;41;31;6;3;-;-;1;13;2;2;99
"150611 QUATIPURU";-;-;2;41;6;23;6;-;4;1;5;11;99
"150613 REDENCAO";-;10;29;35;119;69;11;52;64;59;50;84;582
"150616 RIO MARIA";-;17;23;19;39;6;33;48;6;26;93;36;346
"150618 RONDON DO PARA";-;10;70;247;79;60;53;3;3;17;25;50;617
"150619 RUROPOLIS";-;3;24;232;27;-;78;20;66;70;77;603;1200
"150620 SALINOPOLIS";-;10;17;14;2;7;11;4;3;4;37;28;137
"150630 SALVATERRA";-;8;10;24;3;-;-;7;1;-;-;13;66
"150635 SANTA BARBARA DO PARA";-;8;26;9;-;7;20;10;2;3;8;29;122
"150640 SANTA CRUZ DO ARARI";-;-;2;1;1;-;-;-;-;-;-;-;4
"150650 SANTA IZABEL DO PARA";-;18;144;27;2;8;4;11;7;49;146;157;573
"150655 SANTA LUZIA DO PARA";-;4;16;23;13;12;18;3;143;54;30;47;363
"150658 SANTA MARIA DAS BARREIRAS";-;30;54;111;97;35;77;30;1;5;2;11;453
"150660 SANTA MARIA DO PARA";-;1;3;14;3;33;4;8;1;6;6;32;111
"150670 SANTANA DO ARAGUAIA";-;9;18;171;22;3;67;134;445;323;36;233;1461
"150680 SANTAREM";-;19;36;11;4;32;33;88;95;326;49;238;931
"150690 SANTAREM NOVO";-;1;14;2;9;15;2;12;-;4;1;3;63
"150700 SANTO ANTONIO DO TAUA";-;1;14;12;7;24;5;7;7;1;2;16;96
"150710 SAO CAETANO DE ODIVELAS";-;1;15;4;5;9;6;-;3;1;7;145;196
"150715 SAO DOMINGOS DO ARAGUAIA";-;33;90;135;12;-;10;17;10;17;26;133;483
"150720 SAO DOMINGOS DO CAPIM";-;16;6;6;2;3;5;6;3;5;26;256;334
"150730 SAO FELIX DO XINGU";-;184;93;137;50;67;147;133;92;63;14;18;998
"150740 SAO FRANCISCO DO PARA";-;16;4;8;20;23;3;2;4;5;3;26;114
"150745 SAO GERALDO DO ARAGUAIA";-;53;29;100;225;4;3;4;49;42;6;5;520
"150746 SAO JOAO DA PONTA";-;33;13;5;1;5;-;3;2;-;-;43;105
"150747 SAO JOAO DE PIRABAS";-;2;5;26;31;7;8;20;-;8;102;13;222
"150750 SAO JOAO DO ARAGUAIA";-;7;19;101;97;83;125;56;266;73;104;152;1083
"150760 SAO MIGUEL DO GUAMA";-;3;3;8;2;10;8;3;2;10;9;157;215
"150770 SAO SEBASTIAO DA BOA VISTA";-;4;7;2;-;1;-;-;-;-;-;2;16
"150775 SAPUCAIA";-;-;1;93;4;-;-;8;63;10;10;6;195
"150780 SENADOR JOSE PORFIRIO";1;514;209;22;8;4;237;15;41;29;62;96;1238
"150790 SOURE";-;5;31;34;102;4;8;6;4;13;15;19;241
"150795 TAILANDIA";-;33;39;21;7;3;16;1;3;177;87;53;440
"150796 TERRA ALTA";-;2;15;1;2;22;-;1;1;-;8;96;148
"150797 TERRA SANTA";-;5;1;-;-;-;-;-;-;1;-;14;21
"150800 TOME-ACU";-;33;101;93;4;2;38;7;1;8;114;87;488
"150803 TRACUATEUA";-;19;25;45;2;14;18;11;3;3;11;9;160
"150805 TRAIRAO";-;-;2;10;1;-;-;25;141;26;2;91;298
"150808 TUCUMA";-;27;59;2;5;1;19;15;4;12;34;18;196
"150810 TUCURUI";-;16;22;358;421;81;18;12;6;11;40;71;1056
"150812 ULIANOPOLIS";-;1;3;3;1;2;2;4;-;11;6;16;49
"150815 URUARA";-;79;36;26;-;-;7;37;5;28;10;43;271
"150820 VIGIA";-;7;1;1;183;23;5;5;1;1;-;122;349
"150830 VISEU";-;1;35;21;2;71;1;1;2;6;15;82;237
"150835 VITORIA DO XINGU";-;94;43;16;22;19;88;137;116;49;191;125;900
"150840 XINGUARA";1;14;75;93;880;12;21;224;131;159;244;82;1936
"160005 SERRA DO NAVIO";-;12;19;21;39;12;11;-;-;1;21;88;224
"160010 AMAPA";-;2;7;3;4;3;1;-;2;1;1;7;31
"160015 PEDRA BRANCA DO AMAPARI";-;138;123;104;44;84;4;1;4;-;88;6;596
"160020 CALCOENE";-;79;379;79;13;1;-;-;2;-;4;871;1428
"160021 CUTIAS";-;1;2;-;2;-;-;-;-;-;1;5;11
"160023 FERREIRA GOMES";-;12;85;125;72;65;1;4;1;-;-;54;419
"160025 ITAUBAL";-;-;5;2;2;2;1;-;-;-;2;17;31
"160027 LARANJAL DO JARI";-;875;53;1;29;159;5;11;2;-;338;768;2241
"160030 MACAPA";1;286;1547;922;351;338;141;35;228;232;620;2921;7622
"160040 MAZAGAO";-;25;280;11;7;20;1;6;6;6;2;77;441
"160050 OIAPOQUE";-;620;417;398;231;2;5;2;24;27;81;729;2536
"160053 PORTO GRANDE";-;117;150;4;34;5;3;3;1;6;6;375;704
"160055 PRACUUBA";-;-;1;1;1;1;1;-;-;-;-;15;20
"160060 SANTANA";-;21;272;75;70;44;19;5;9;19;58;687;1279
"160070 TARTARUGALZINHO";-;2;60;71;22;24;-;-;1;1;7;1092;1280
"160080 VITORIA DO JARI";-;3;-;2;-;4;-;-;1;-;1;23;34
"170025 ABREULANDIA";-;17;63;4;4;5;4;1;17;91;7;3;216
"170030 AGUIARNOPOLIS";-;9;1;12;61;2;16;4;4;117;3;31;260
"170035 ALIANCA DO TOCANTINS";-;-;5;16;12;-;6;3;1;4;7;3;57
"170040 ALMAS";-;1;8;24;12;4;27;1;-;1;13;12;103
"170070 ALVORADA";-;1;7;17;1;9;23;6;-;66;22;35;187
"170100 ANANAS";-;3;9;54;17;23;28;26;19;31;4;23;237
"170105 ANGICO";-;1;-;-;3;-;-;-;-;5;1;-;10
"170110 APARECIDA DO RIO NEGRO";-;3;77;74;34;12;29;10;4;84;4;2;333
"170130 ARAGOMINAS";-;5;16;40;3;-;25;7;6;25;-;7;134
"170190 ARAGUACEMA";-;6;6;23;4;-;6;2;4;98;4;15;168
"170200 ARAGUACU";6;326;39;136;3;15;72;11;6;11;1;21;647
"170210 ARAGUAINA";10;487;890;963;1360;414;1745;341;1355;1337;284;350;9536
"170215 ARAGUANA";-;8;8;23;30;10;8;5;17;8;1;6;124
"170220 ARAGUATINS";-;25;39;55;89;36;56;12;11;35;14;34;406
"170230 ARAPOEMA";1;1;5;7;9;5;31;28;121;48;25;24;305
"170240 ARRAIAS";-;23;63;30;72;19;486;50;35;173;116;391;1458
"170255 AUGUSTINOPOLIS";-;4;13;69;37;1;23;3;1;7;20;22;200
"170270 AURORA DO TOCANTINS";-;-;1;18;74;-;9;2;1;55;6;82;248
"170290 AXIXA DO TOCANTINS";-;3;8;-;17;5;-;1;2;4;8;14;62
"170300 BABACULANDIA";-;7;1;28;14;1;60;6;17;4;5;20;163
"170305 BANDEIRANTES DO TOCANTINS";-;7;5;4;3;1;8;2;5;21;2;5;63
