DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Notificações por Município de residência e Ano 1º Sintoma(s)
Amazônia Legal (residência): Sim
Classifica. Final: Ign/Ñ preenchido, Dengue Clássico, Dengue Com Complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"120070 XAPURI";-;-;2;-;10;2;14
"120080 PORTO ACRE";14;4;6;11;6;-;41
" MUNICIPIO IGNORADO - AM";-;2;1;-;-;-;3
"130002 ALVARAES";1;-;2;-;-;-;3
"130008 ANAMA";5;-;-;-;-;-;5
"130010 ANORI";-;1;10;-;1;-;12
"130014 APUI";4;5;3;-;-;-;12
"130020 ATALAIA DO NORTE";-;-;-;-;-;1;1
"130030 AUTAZES";19;4;1;-;-;-;24
"130040 BARCELOS";-;-;5;2;-;-;7
"130050 BARREIRINHA";-;-;-;-;1;-;1
"130060 BENJAMIN CONSTANT";1;1;-;-;-;-;2
"130063 BERURI";1;-;-;-;-;-;1
"130068 BOA VISTA DO RAMOS";6;1;1;-;-;-;8
"130070 BOCA DO ACRE";12;3;2;-;-;3;20
"130080 BORBA";141;21;66;3;2;78;311
"130083 CAAPIRANGA";31;6;-;1;-;-;38
"130090 CANUTAMA";1;-;-;-;-;3;4
"130100 CARAUARI";1;-;1;1;-;-;3
"130110 CAREIRO";6;1;3;3;1;-;14
"130115 CAREIRO DA VARZEA";38;-;-;-;-;-;38
"130120 COARI";4;8;1;-;1;2;16
"130130 CODAJAS";25;8;7;3;-;-;43
"130140 EIRUNEPE";7;-;-;1;-;-;8
"130150 ENVIRA";1;1;-;-;-;-;2
"130160 FONTE BOA";1;-;-;-;-;-;1
"130170 HUMAITA";1;12;2;-;1;1;17
"130185 IRANDUBA";30;8;7;4;2;5;56
"130190 ITACOATIARA";262;308;11;12;20;12;625
"130200 ITAPIRANGA";1;1;2;-;-;-;4
"130220 JURUA";4;-;-;-;-;-;4
"130230 JUTAI";2;-;1;-;-;1;4
"130240 LABREA";9;3;-;-;-;-;12
"130250 MANACAPURU";227;5;1;4;2;1;240
"130255 MANAQUIRI";8;-;-;-;1;-;9
"130260 MANAUS";18158;1830;3715;762;913;489;25867
"130270 MANICORE";7;1;-;-;7;-;15
"130290 MAUES";1;-;2;16;27;2;48
"130300 NHAMUNDA";2;1;-;-;4;1;8
"130310 NOVA OLINDA DO NORTE";47;-;42;65;1;1;156
"130320 NOVO AIRAO";30;-;-;-;-;8;38
"130330 NOVO ARIPUANA";-;1;1;2;-;-;4
"130340 PARINTINS";21;1;6;-;2;2;32
"130353 PRESIDENTE FIGUEIREDO";5;2;11;3;-;2;23
"130356 RIO PRETO DA EVA";19;7;55;8;23;2;114
"130360 SANTA ISABEL DO RIO NEGRO";16;-;-;-;-;-;16
"130370 SANTO ANTONIO DO ICA";1;-;-;-;-;1;2
"130380 SAO GABRIEL DA CACHOEIRA";2;-;45;25;1;1;74
"130390 SAO PAULO DE OLIVENCA";1;-;-;-;-;-;1
"130395 SAO SEBASTIAO DO UATUMA";1;-;-;-;-;-;1
"130400 SILVES";-;-;1;-;-;-;1
"130406 TABATINGA";-;-;-;-;9;15;24
"130410 TAPAUA";1;-;-;2;1;1;5
"130420 TEFE";2;-;-;-;-;-;2
"130426 UARINI";-;1;-;-;-;-;1
"130430 URUCARA";4;-;-;-;-;-;4
"130440 URUCURITUBA";-;1;4;1;-;-;6
" MUNICIPIO IGNORADO - RR";2;1;1;-;-;-;4
"140002 AMAJARI";2;6;17;-;42;2;69
"140005 ALTO ALEGRE";18;5;32;3;12;105;175
"140010 BOA VISTA";3617;1150;4514;524;1944;563;12312
"140015 BONFIM";3;2;17;-;14;2;38
"140017 CANTA";12;2;33;3;10;1;61
"140020 CARACARAI";30;1;23;2;6;8;70
"140023 CAROEBE";1;-;3;1;-;1;6
"140028 IRACEMA";3;-;4;7;67;46;127
"140030 MUCAJAI";123;25;245;32;137;223;785
"140040 NORMANDIA";3;6;17;3;6;2;37
"140045 PACARAIMA";6;14;39;6;113;14;192
"140047 RORAINOPOLIS";6;4;16;-;-;1;27
"140050 SAO JOAO DA BALIZA";6;1;2;-;1;-;10
"140060 SAO LUIZ";2;1;1;-;-;-;4
"140070 UIRAMUTA";2;-;3;-;7;1;13
" MUNICIPIO IGNORADO - PA";1;3;3;-;1;-;8
"150010 ABAETETUBA";175;771;317;251;615;363;2492
"150013 ABEL FIGUEIREDO";4;1;21;5;12;1;44
"150020 ACARA";1;58;49;6;20;-;134
"150030 AFUA";-;4;6;1;6;-;17
"150034 AGUA AZUL DO NORTE";22;23;-;4;18;36;103
"150040 ALENQUER";36;28;3;1;11;-;79
"150050 ALMEIRIM";2;-;-;-;-;1;3
"150060 ALTAMIRA";7;6;11;5;6;5;40
"150070 ANAJAS";1;1;-;-;1;-;3
"150080 ANANINDEUA";442;289;260;85;96;71;1243
"150085 ANAPU";1;-;2;2;14;2;21
"150090 AUGUSTO CORREA";4;4;5;6;14;10;43
"150095 AURORA DO PARA";2;38;1;7;6;1;55
"150110 BAGRE";-;-;-;-;-;1;1
"150120 BAIAO";28;7;6;1;20;15;77
"150125 BANNACH";4;9;5;2;1;3;24
"150130 BARCARENA";21;293;512;155;229;309;1519
"150140 BELEM";2043;3108;2568;2165;1313;1093;12290
"150145 BELTERRA";24;122;25;47;64;6;288
"150150 BENEVIDES";160;197;182;43;130;91;803
"150157 BOM JESUS DO TOCANTINS";-;63;49;3;-;64;179
"150160 BONITO";1;2;-;1;-;-;4
"150170 BRAGANCA";80;168;138;109;134;121;750
"150172 BRASIL NOVO";-;-;-;1;-;-;1
"150175 BREJO GRANDE DO ARAGUAIA";1;14;12;11;107;19;164
"150178 BREU BRANCO";136;30;35;50;61;5;317
"150180 BREVES";6;2;5;2;5;1;21
"150190 BUJARU";130;10;79;22;3;23;267
"150195 CACHOEIRA DO PIRIA";24;12;1;2;73;16;128
"150200 CACHOEIRA DO ARARI";-;-;1;1;-;-;2
"150210 CAMETA";269;200;152;116;148;35;920
"150215 CANAA DOS CARAJAS";-;1;13;2;2;30;48
"150220 CAPANEMA";254;145;9;10;16;37;471
"150230 CAPITAO POCO";2;41;32;13;8;17;113
"150240 CASTANHAL";368;387;110;36;46;86;1033
"150250 CHAVES";-;1;1;-;-;5;7
"150260 COLARES";2;15;12;2;-;1;32
"150270 CONCEICAO DO ARAGUAIA";100;19;53;36;105;198;511
"150275 CONCORDIA DO PARA";39;1;3;11;13;1;68
"150276 CUMARU DO NORTE";-;2;111;3;63;88;267
"150277 CURIONOPOLIS";28;16;27;9;32;28;140
"150280 CURRALINHO";-;-;1;1;-;-;2
"150285 CURUA";1;-;-;-;-;-;1
"150290 CURUCA";-;-;-;1;3;-;4
"150293 DOM ELISEU";1;15;63;60;19;1;159
"150295 ELDORADO DOS CARAJAS";107;109;296;65;98;63;738
"150300 FARO";2;9;2;-;1;-;14
"150304 FLORESTA DO ARAGUAIA";3;1;15;24;73;6;122
"150307 GARRAFAO DO NORTE";6;2;7;2;6;2;25
"150309 GOIANESIA DO PARA";4;64;98;65;149;2;382
"150310 GURUPA";-;1;15;3;2;-;21
"150320 IGARAPE-ACU";4;13;16;31;120;94;278
"150330 IGARAPE-MIRI";559;319;71;49;65;10;1073
"150340 INHANGAPI";3;5;1;16;-;-;25
"150345 IPIXUNA DO PARA";7;82;3;1;2;4;99
"150350 IRITUIA";5;20;10;7;6;137;185
"150360 ITAITUBA";23;30;12;5;367;924;1361
"150370 ITUPIRANGA";-;21;60;26;74;1;182
"150375 JACAREACANGA";2;1;-;1;3;4;11
"150380 JACUNDA";308;203;489;25;21;124;1170
"150390 JURUTI";-;-;2;1;-;1;4
"150400 LIMOEIRO DO AJURU";-;4;1;3;9;5;22
"150405 MAE DO RIO";9;40;21;7;4;3;84
"150410 MAGALHAES BARATA";-;-;2;2;-;25;29
"150420 MARABA";862;404;867;87;131;230;2581
"150430 MARACANA";-;5;1;20;9;16;51
"150440 MARAPANIM";1;-;-;-;1;1;3
"150442 MARITUBA";19;313;315;296;162;246;1351
"150445 MEDICILANDIA";-;10;-;-;-;-;10
"150460 MOCAJUBA";16;5;4;1;2;8;36
"150470 MOJU";54;80;36;32;285;142;629
"150480 MONTE ALEGRE";26;40;27;117;413;14;637
"150490 MUANA";-;-;2;1;-;12;15
"150495 NOVA ESPERANCA DO PIRIA";-;-;1;5;-;1;7
"150497 NOVA IPIXUNA";27;1;42;39;24;46;179
"150500 NOVA TIMBOTEUA";1;4;2;-;-;-;7
"150503 NOVO PROGRESSO";6;569;87;1;5;25;693
"150506 NOVO REPARTIMENTO";16;-;2;19;6;3;46
"150510 OBIDOS";216;462;28;1;4;15;726
"150520 OEIRAS DO PARA";1;6;2;-;4;1;14
"150530 ORIXIMINA";28;80;1;1;239;51;400
"150540 OUREM";26;26;22;-;1;7;82
"150543 OURILANDIA DO NORTE";32;14;1;22;9;31;109
"150548 PACAJA";6;11;69;21;133;68;308
"150549 PALESTINA DO PARA";1;1;-;1;2;33;38
"150550 PARAGOMINAS";79;208;58;4;45;5;399
"150553 PARAUAPEBAS";21;144;308;40;128;54;695
"150555 PAU D'ARCO";-;1;10;133;20;47;211
"150560 PEIXE-BOI";1;-;1;-;-;-;2
"150563 PICARRA";25;1;34;4;-;1;65
"150565 PLACAS";-;-;3;1;34;4;42
"150570 PONTA DE PEDRAS";9;-;3;-;8;-;20
"150580 PORTEL";3;22;24;3;2;6;60
"150600 PRAINHA";-;1;-;-;1;-;2
"150610 PRIMAVERA";2;5;1;1;-;-;9
"150611 QUATIPURU";3;7;-;1;-;-;11
"150613 REDENCAO";646;4;35;13;35;40;773
"150616 RIO MARIA";2;20;-;4;3;85;114
"150618 RONDON DO PARA";4;89;333;318;244;184;1172
"150619 RUROPOLIS";-;4;171;17;4;18;214
"150620 SALINOPOLIS";-;50;32;47;11;14;154
"150630 SALVATERRA";1;-;2;1;7;-;11
"150635 SANTA BARBARA DO PARA";13;12;11;2;26;13;77
"150640 SANTA CRUZ DO ARARI";-;-;-;-;-;2;2
"150650 SANTA IZABEL DO PARA";35;114;49;20;6;58;282
"150655 SANTA LUZIA DO PARA";9;11;1;16;-;1;38
"150658 SANTA MARIA DAS BARREIRAS";3;2;2;6;1;89;103
"150660 SANTA MARIA DO PARA";-;2;5;19;7;2;35
"150670 SANTANA DO ARAGUAIA";-;1;4;3;2;2;12
"150680 SANTAREM";5840;1179;336;230;616;42;8243
"150690 SANTAREM NOVO";-;-;-;-;1;-;1
"150700 SANTO ANTONIO DO TAUA";39;82;39;11;18;15;204
"150710 SAO CAETANO DE ODIVELAS";25;42;33;27;1;8;136
"150715 SAO DOMINGOS DO ARAGUAIA";194;15;223;128;106;88;754
"150720 SAO DOMINGOS DO CAPIM";2;-;-;2;8;4;16
"150730 SAO FELIX DO XINGU";3;6;13;13;7;89;131
"150740 SAO FRANCISCO DO PARA";19;21;16;101;138;78;373
"150745 SAO GERALDO DO ARAGUAIA";11;25;15;4;179;40;274
"150746 SAO JOAO DA PONTA";-;2;6;1;-;1;10
"150747 SAO JOAO DE PIRABAS";4;11;-;1;14;13;43
"150750 SAO JOAO DO ARAGUAIA";6;3;23;6;14;2;54
"150760 SAO MIGUEL DO GUAMA";49;39;13;47;16;13;177
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;1;18;19
"150775 SAPUCAIA";64;21;2;4;1;35;127
"150780 SENADOR JOSE PORFIRIO";-;-;1;-;-;-;1
"150790 SOURE";23;7;142;15;9;30;226
"150795 TAILANDIA";2;8;28;16;35;4;93
"150796 TERRA ALTA";-;-;-;-;-;3;3
"150797 TERRA SANTA";244;17;14;-;29;-;304
"150800 TOME-ACU";3;7;14;4;12;34;74
"150803 TRACUATEUA";16;24;19;20;17;10;106
"150805 TRAIRAO";-;-;-;-;2;1;3
"150808 TUCUMA";17;22;141;38;197;109;524
"150810 TUCURUI";2413;77;13;80;186;-;2769
"150812 ULIANOPOLIS";-;36;25;41;75;-;177
"150815 URUARA";-;1;1;-;-;-;2
"150820 VIGIA";50;56;5;17;41;13;182
"150830 VISEU";5;19;21;25;58;3;131
"150835 VITORIA DO XINGU";-;1;-;-;-;-;1
"150840 XINGUARA";34;25;8;9;36;86;198
"160005 SERRA DO NAVIO";1;-;3;-;2;1;7
"160010 AMAPA";-;-;-;-;-;1;1
"160015 PEDRA BRANCA DO AMAPARI";3;1;1;-;5;-;10
"160020 CALCOENE";2;2;-;-;1;-;5
"160021 CUTIAS";-;-;1;-;-;-;1
"160023 FERREIRA GOMES";-;1;-;-;-;-;1
"160025 ITAUBAL";-;-;5;-;-;-;5
"160027 LARANJAL DO JARI";5;1;-;-;1;1;8
"160030 MACAPA";3131;653;3802;2130;1865;936;12517
"160040 MAZAGAO";1;4;4;5;5;-;19
"160050 OIAPOQUE";-;-;5;1;3;1;10
"160053 PORTO GRANDE";7;-;-;1;-;2;10
"160055 PRACUUBA";1;-;-;-;-;-;1
"160060 SANTANA";48;196;215;489;676;824;2448
"160070 TARTARUGALZINHO";-;-;3;-;1;-;4
" MUNICIPIO IGNORADO - TO";5;-;1;-;-;-;6
"170025 ABREULANDIA";2;-;-;-;-;6;8
"170030 AGUIARNOPOLIS";-;-;-;1;4;1;6
"170035 ALIANCA DO TOCANTINS";9;4;1;2;-;10;26
"170040 ALMAS";7;1;-;-;1;176;185
"170070 ALVORADA";38;14;-;-;-;47;99
"170100 ANANAS";16;-;-;6;14;2;38
"170105 ANGICO";3;-;3;-;2;-;8
"170110 APARECIDA DO RIO NEGRO";1;9;2;1;22;-;35
"170130 ARAGOMINAS";58;2;9;37;5;6;117
"170190 ARAGUACEMA";3;1;1;-;1;2;8
"170200 ARAGUACU";27;98;7;14;81;32;259
"170210 ARAGUAINA";323;165;223;501;394;510;2116
"170215 ARAGUANA";2;2;8;17;1;13;43
"170220 ARAGUATINS";93;47;17;89;17;21;284
"170230 ARAPOEMA";12;-;1;9;20;4;46
"170240 ARRAIAS";2;2;3;20;1;-;28
"170255 AUGUSTINOPOLIS";27;6;12;35;30;13;123
"170270 AURORA DO TOCANTINS";-;1;-;-;-;-;1
"170290 AXIXA DO TOCANTINS";-;6;63;5;1;1;76
"170300 BABACULANDIA";5;6;13;1;20;38;83
"170305 BANDEIRANTES DO TOCANTINS";-;-;1;12;1;2;16
"170307 BARRA DO OURO";2;-;-;-;1;25;28
"170310 BARROLANDIA";2;1;4;1;1;4;13
"170320 BERNARDO SAYAO";1;11;-;-;-;-;12
"170330 BOM JESUS DO TOCANTINS";-;1;-;9;2;-;12
"170370 BREJINHO DE NAZARE";25;-;-;-;1;-;26
"170380 BURITI DO TOCANTINS";-;1;-;2;21;4;28
"170384 CAMPOS LINDOS";1;-;-;-;24;9;34
"170386 CARIRI DO TOCANTINS";33;1;1;34;1;9;79
"170388 CARMOLANDIA";-;-;-;-;-;3;3
"170389 CARRASCO BONITO";-;-;-;-;-;2;2
"170390 CASEARA";2;-;-;-;-;3;5
"170410 CENTENARIO";2;-;-;-;-;-;2
"170460 CHAPADA DE AREIA";2;2;-;1;1;7;13
"170510 CHAPADA DA NATIVIDADE";1;-;-;1;1;5;8
"170550 COLINAS DO TOCANTINS";2;-;134;18;25;145;324
"170555 COMBINADO";8;-;-;-;12;13;33
"170560 CONCEICAO DO TOCANTINS";3;-;-;-;-;-;3
"170600 COUTO MAGALHAES";-;2;-;-;24;3;29
"170610 CRISTALANDIA";202;17;3;-;4;49;275
"170625 CRIXAS DO TOCANTINS";1;15;-;-;-;3;19
"170650 DARCINOPOLIS";4;2;-;2;10;2;20
"170700 DIANOPOLIS";53;-;76;6;1;15;151
"170710 DIVINOPOLIS DO TOCANTINS";37;-;-;4;42;16;99
"170720 DOIS IRMAOS DO TOCANTINS";34;2;-;-;-;23;59
"170730 DUERE";24;41;1;2;3;20;91
"170740 ESPERANTINA";24;111;52;107;106;6;406
"170755 FATIMA";46;-;5;-;-;-;51
"170765 FIGUEIROPOLIS";73;37;3;1;14;90;218
"170770 FILADELFIA";31;3;1;1;11;3;50
"170820 FORMOSO DO ARAGUAIA";3;9;1;1;-;11;25
"170825 FORTALEZA DO TABOCAO";39;4;-;-;7;1;51
"170830 GOIANORTE";-;3;-;2;8;-;13
"170900 GOIATINS";6;4;6;4;2;1;23
"170930 GUARAI";12;3;81;24;80;9;209
"170950 GURUPI";712;159;40;75;34;686;1706
"170980 IPUEIRAS";2;-;-;-;1;-;3
"171050 ITACAJA";172;25;21;28;16;4;266
"171070 ITAGUATINS";6;3;27;1;1;5;43
"171090 ITAPIRATINS";-;1;1;-;2;4;8
"171110 ITAPORA DO TOCANTINS";-;5;64;11;13;5;98
"171150 JAU DO TOCANTINS";3;20;-;-;-;7;30
"171180 JUARINA";2;-;3;19;-;-;24
"171190 LAGOA DA CONFUSAO";2;3;-;1;-;1;7
"171195 LAGOA DO TOCANTINS";2;-;-;-;-;-;2
"171200 LAJEADO";5;-;-;-;2;7;14
"171215 LAVANDEIRA";1;-;-;2;-;3;6
"171240 LIZARDA";-;2;-;-;-;-;2
"171245 LUZINOPOLIS";-;1;-;-;-;3;4
"171250 MARIANOPOLIS DO TOCANTINS";2;-;6;-;9;-;17
"171270 MATEIROS";2;-;-;1;-;-;3
"171280 MAURILANDIA DO TOCANTINS";-;17;17;8;5;2;49
"171320 MIRACEMA DO TOCANTINS";4;-;5;16;24;125;174
"171330 MIRANORTE";24;2;18;4;-;9;57
"171360 MONTE DO CARMO";2;6;26;1;-;3;38
"171370 MONTE SANTO DO TOCANTINS";3;3;-;-;-;7;13
"171380 PALMEIRAS DO TOCANTINS";-;1;-;1;3;-;5
"171395 MURICILANDIA";-;8;21;4;-;4;37
"171420 NATIVIDADE";5;2;-;-;1;108;116
"171430 NAZARE";7;-;-;1;2;-;10
"171488 NOVA OLINDA";-;1;11;3;-;7;22
"171500 NOVA ROSALANDIA";2;5;7;2;-;15;31
"171510 NOVO ACORDO";-;-;-;-;-;1;1
"171515 NOVO ALEGRE";33;-;-;-;1;19;53
"171525 NOVO JARDIM";2;-;-;-;1;-;3
"171550 OLIVEIRA DE FATIMA";2;1;-;-;-;3;6
"171570 PALMEIRANTE";1;-;-;-;-;-;1
"171575 PALMEIROPOLIS";12;1;-;-;-;-;13
"171610 PARAISO DO TOCANTINS";782;120;37;40;163;895;2037
"171620 PARANA";1;-;-;-;-;1;2
"171630 PAU D'ARCO";-;-;-;-;2;1;3
"171650 PEDRO AFONSO";6;34;2;33;33;3;111
"171660 PEIXE";14;-;1;-;1;113;129
"171665 PEQUIZEIRO";-;-;1;-;-;96;97
"171670 COLMEIA";35;2;6;5;51;-;99
"171700 PINDORAMA DO TOCANTINS";8;1;-;-;-;-;9
"171720 PIRAQUE";5;-;3;-;-;1;9
"171750 PIUM";4;-;-;1;1;72;78
"171780 PONTE ALTA DO BOM JESUS";-;-;-;-;-;5;5
"171790 PONTE ALTA DO TOCANTINS";1;-;-;-;1;-;2
"171800 PORTO ALEGRE DO TOCANTINS";-;-;2;-;-;2;4
"171820 PORTO NACIONAL";79;19;10;2;12;243;365
"171830 PRAIA NORTE";22;1;1;4;6;1;35
"171840 PRESIDENTE KENNEDY";4;-;4;-;-;-;8
"171845 PUGMIL";8;-;-;-;10;26;44
"171850 RECURSOLANDIA";-;13;17;-;-;-;30
"171855 RIACHINHO";-;2;3;1;17;3;26
"171870 RIO DOS BOIS";2;1;-;-;1;12;16
"171875 RIO SONO";73;-;1;1;2;-;77
"171880 SAMPAIO";2;-;-;7;2;25;36
"171884 SANDOLANDIA";-;-;-;2;17;-;19
"171886 SANTA FE DO ARAGUAIA";1;-;1;1;1;1;5
"171888 SANTA MARIA DO TOCANTINS";13;2;1;3;20;-;39
"171890 SANTA ROSA DO TOCANTINS";-;1;-;1;4;191;197
"171900 SANTA TEREZA DO TOCANTINS";14;12;9;-;1;-;36
"172000 SANTA TEREZINHA DO TOCANTINS";14;26;2;-;-;4;46
"172010 SAO BENTO DO TOCANTINS";17;4;6;-;37;2;66
"172015 SAO FELIX DO TOCANTINS";-;-;-;-;-;3;3
"172020 SAO MIGUEL DO TOCANTINS";2;-;2;2;10;35;51
"172025 SAO SALVADOR DO TOCANTINS";1;2;-;-;1;9;13
"172030 SAO SEBASTIAO DO TOCANTINS";-;6;-;2;31;1;40
"172049 SAO VALERIO";1;25;-;-;-;34;60
"172065 SILVANOPOLIS";37;-;-;1;-;-;38
"172080 SITIO NOVO DO TOCANTINS";-;4;3;17;3;21;48
"172085 SUCUPIRA";3;2;-;-;-;1;6
"172090 TAGUATINGA";-;1;-;-;-;90;91
"172093 TAIPAS DO TOCANTINS";-;-;-;1;-;-;1
"172097 TALISMA";1;-;-;-;-;-;1
"172100 PALMAS";1445;615;669;20;1488;1503;5740
"172110 TOCANTINIA";2;1;1;3;7;2;16
"172120 TOCANTINOPOLIS";22;105;78;214;268;17;704
"172125 TUPIRAMA";-;-;-;-;-;1;1
"172130 TUPIRATINS";-;-;-;-;-;3;3
"172208 WANDERLANDIA";1;69;1;4;13;19;107
"172210 XAMBIOA";9;10;22;25;22;5;93
"210005 ACAILANDIA";59;98;65;21;33;23;299
"210020 ALCANTARA";-;-;-;1;11;8;20
"210040 ALTAMIRA DO MARANHAO";-;3;-;6;-;-;9
"210043 ALTO ALEGRE DO MARANHAO";3;2;91;1;-;2;99
"210047 ALTO ALEGRE DO PINDARE";-;36;11;64;9;98;218
"210050 ALTO PARNAIBA";22;11;26;5;4;4;72
"210055 AMAPA DO MARANHAO";2;1;4;-;4;-;11
"210060 AMARANTE DO MARANHAO";1;1;52;6;34;19;113
"210070 ANAJATUBA";-;2;2;-;5;2;11
"210083 APICUM-ACU";4;1;-;-;16;-;21
"210087 ARAGUANA";8;2;-;-;21;7;38
"210095 ARAME";1;2;10;1;2;15;31
"210100 ARARI";1;4;-;-;-;1;6
"210110 AXIXA";34;13;3;4;8;10;72
"210120 BACABAL";45;699;264;45;22;8;1083
"210125 BACABEIRA";18;48;18;2;12;20;118
"210130 BACURI";2;1;-;-;1;3;7
"210140 BALSAS";28;24;91;26;22;37;228
"210160 BARRA DO CORDA";20;311;171;19;102;95;718
"210180 BENEDITO LEITE";13;5;7;-;-;-;25
"210190 BEQUIMAO";-;1;1;-;20;32;54
"210193 BERNARDO DO MEARIM";9;-;2;-;3;-;14
"210197 BOA VISTA DO GURUPI";5;2;1;-;5;13;26
"210200 BOM JARDIM";2;33;2;13;5;17;72
"210203 BOM JESUS DAS SELVAS";118;-;-;6;7;47;178
"210207 BOM LUGAR";2;30;18;1;-;1;52
"210215 BREJO DE AREIA";-;-;-;-;5;1;6
"210230 BURITI BRAVO";49;63;7;3;12;3;137
"210232 BURITICUPU";-;1;-;2;6;5;14
"210237 CACHOEIRA GRANDE";2;7;10;6;10;18;53
"210240 CAJAPIO";-;1;3;-;-;1;5
"210250 CAJARI";-;1;-;2;2;3;8
"210255 CAMPESTRE DO MARANHAO";-;-;1;-;1;10;12
"210260 CANDIDO MENDES";-;-;1;1;2;-;4
"210270 CANTANHEDE";-;29;8;-;2;-;39
"210275 CAPINZAL DO NORTE";2;5;4;-;31;-;42
"210280 CAROLINA";124;53;6;6;3;27;219
"210310 CEDRAL";-;-;-;-;1;-;1
