DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano Notificação
Amazônia Legal (residência): Sim
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Ignorado/brancos
Evolução: Óbito pelo agravo notificado
Período:2007-2013
"Município de residência";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"171620 PARANA";1;-;-;-;-;-;-;1
"171820 PORTO NACIONAL";1;-;-;1;-;-;-;2
"172020 SAO MIGUEL DO TOCANTINS";-;1;-;-;-;-;-;1
"172100 PALMAS";1;-;-;2;3;3;2;11
"172208 WANDERLANDIA";-;2;-;-;-;-;-;2
"210005 ACAILANDIA";-;1;-;-;-;-;-;1
"210110 AXIXA";1;-;-;-;-;-;-;1
"210125 BACABEIRA";2;-;-;-;-;-;-;2
"210130 BACURI";1;-;-;-;-;-;-;1
"210232 BURITICUPU";1;-;-;-;-;-;1;2
"210270 CANTANHEDE";1;-;-;-;-;-;-;1
"210312 CENTRAL DO MARANHAO";-;1;-;-;-;-;-;1
"210405 ESTREITO";-;1;-;-;-;-;-;1
"210407 FEIRA NOVA DO MARANHAO";-;-;-;-;-;-;1;1
"210465 GOVERNADOR NEWTON BELLO";1;-;-;-;-;-;-;1
"210530 IMPERATRIZ";-;2;-;-;1;-;-;3
"210540 ITAPECURU MIRIM";-;-;-;-;1;-;-;1
"210750 PACO DO LUMIAR";1;1;1;-;-;-;-;3
"210770 PARAIBANO";-;-;-;-;-;-;2;2
"210820 PEDREIRAS";1;-;-;-;-;-;-;1
"210845 PERITORO";-;-;1;-;-;-;-;1
"210850 PINDARE-MIRIM";1;-;-;-;-;-;-;1
"210900 PORTO FRANCO";-;2;1;-;1;-;-;4
"210910 PRESIDENTE DUTRA";-;-;-;-;-;1;-;1
"210945 RAPOSA";-;1;-;-;-;-;1;2
"210990 SANTA INES";-;-;-;-;-;1;-;1
"211020 SANTA RITA";-;-;-;-;1;-;-;1
"211120 SAO JOSE DE RIBAMAR";3;-;1;-;1;1;-;6
"211130 SAO LUIS";24;5;1;3;14;8;7;62
"211270 VARGEM GRANDE";-;-;-;-;-;1;-;1
"211280 VIANA";1;-;-;-;-;-;-;1
"510020 AGUA BOA";-;-;1;2;-;-;-;3
"510025 ALTA FLORESTA";-;-;1;-;-;-;-;1
"510140 ARIPUANA";-;-;2;-;-;1;1;4
"510180 BARRA DO GARCAS";-;-;3;2;-;-;2;7
"510185 BOM JESUS DO ARAGUAIA";-;-;-;1;-;-;-;1
"510250 CACERES";-;-;6;-;-;1;-;7
"510263 CAMPO NOVO DO PARECIS";-;-;-;1;1;-;3;5
"510267 CAMPO VERDE";-;-;-;1;-;-;-;1
"510270 CANARANA";-;-;-;1;-;-;-;1
"510279 CARLINDA";2;-;-;-;-;-;1;3
"510305 CLAUDIA";-;-;-;-;-;-;1;1
"510320 COLIDER";-;-;-;2;1;1;-;4
"510325 COLNIZA";-;-;-;1;-;-;-;1
"510340 CUIABA";1;-;14;4;-;5;1;25
"510343 CURVELANDIA";-;-;-;1;-;-;-;1
"510345 DENISE";-;-;1;-;-;-;-;1
"510350 DIAMANTINO";-;-;2;2;-;-;-;4
"510390 GENERAL CARNEIRO";-;-;-;-;1;-;-;1
"510395 GLORIA D'OESTE";-;-;-;1;-;-;-;1
"510410 GUARANTA DO NORTE";-;-;-;1;-;-;-;1
"510480 JACIARA";-;-;1;-;-;1;1;3
"510500 JAURU";-;-;1;-;-;-;-;1
"510510 JUARA";-;-;1;-;-;-;1;2
"510525 LUCAS DO RIO VERDE";-;-;-;-;-;-;1;1
"510562 MIRASSOL D'OESTE";-;-;1;-;-;-;-;1
"510600 NORTELANDIA";-;-;1;-;-;2;-;3
"510615 NOVA BANDEIRANTES";1;-;-;-;-;-;-;1
"510622 NOVA MUTUM";-;-;1;-;-;-;-;1
"510629 PARANAITA";1;-;-;-;-;-;-;1
"510637 PEDRA PRETA";-;-;-;-;1;-;-;1
"510642 PEIXOTO DE AZEVEDO";-;-;-;1;-;-;-;1
"510665 PONTAL DO ARAGUAIA";-;-;-;-;-;-;1;1
"510670 PONTE BRANCA";-;-;-;1;-;-;-;1
"510675 PONTES E LACERDA";1;-;-;1;-;-;1;3
"510704 PRIMAVERA DO LESTE";2;-;-;5;-;-;3;10
"510710 SAO JOSE DOS QUATRO MARCOS";-;-;-;1;-;-;-;1
"510730 SAO JOSE DO RIO CLARO";-;-;-;1;-;-;-;1
"510760 RONDONOPOLIS";-;-;2;7;-;-;-;9
"510770 ROSARIO OESTE";-;-;1;-;-;-;-;1
"510787 SAPEZAL";-;-;-;1;-;-;1;2
"510790 SINOP";1;-;10;7;1;4;5;28
"510792 SORRISO";-;-;-;1;-;-;2;3
"510795 TANGARA DA SERRA";-;-;2;1;-;1;1;5
"510800 TAPURAH";-;-;-;2;-;-;-;2
"510805 TERRA NOVA DO NORTE";-;-;-;1;-;-;-;1
"510820 TORIXOREU";-;-;-;1;1;-;-;2
"510840 VARZEA GRANDE";-;-;9;6;-;-;-;15
"510850 VERA";-;-;-;-;-;-;1;1
"Total";94;65;110;133;82;49;75;608
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
